Hospital ID,Hospital Name,Region,City,Latitude,Longitude,Specialties,Services,Equipment,Patient Satisfaction Score,Treatment Success Rates,Accreditation Status,Phone Number,Website,Data Sources,Common Diseases in Region
1,Black Lion Comprehensive Specialized Hospital,Addis Ababa,Addis Ababa,9.0201364,38.7499589,"orthopedics|neurosurgery|general surgery|internal medicine|pediatrics|obstetrics/gynecology|emergency medicine|cardiology|oncology","emergency care|outpatient services|inpatient services|surgical services|diagnostic services","CT simulators|radiotherapy machines",N/A,N/A,N/A,+251115511211,N/A,10|11|12|13|44|45|46|47|48|49,"HIV/AIDS, Stroke, Lower respiratory infections"
2,University of Gondar Comprehensive Specialized Hospital,Amhara,Gondar,12.3653,37.2707,"gynecology|pediatrics|surgery|internal medicine|psychiatry|HIV care","emergency care|outpatient services|inpatient services|surgical services|diagnostic services|leishmaniasis treatment","radiotherapy linear accelerator|radiology equipment|pathology equipment",N/A,N/A,N/A,+251582115119,https://hospital.uog.edu.et/,14|15|16|17|20,"Neonatal disorders, Diarrhoeal diseases, Lower respiratory infections"
3,Jimma University Teaching Hospital,Oromia,Jimma,7.681,36.854,"general surgery|internal medicine|pediatrics|gynecology","emergency care|outpatient services|inpatient services|surgical services|diagnostic services",N/A,N/A,N/A,N/A,https://ju.edu.et/specialized-hosptial/,14|22|23|24,"Neonatal disorders, Diarrhoeal diseases, Lower respiratory infections"
4,Hawassa University Comprehensive Specialized Hospital,Sidama,Hawassa,7.0292,38.2816,"cancer treatment|surgery|infectious disease management|pediatrics|gynecology","emergency care|outpatient services|inpatient services|surgical services|chemotherapy|radiotherapy","CT|MRI|radiotherapy linear accelerator",N/A,N/A,ISO accredited,8086,N/A,14|50|51|52|53|54|55,"Lower respiratory infections, Stroke, Ischaemic heart disease"
5,St. Paul's Hospital Millennium Medical College,Addis Ababa,Addis Ababa,9.0301,38.4339,"internal medicine|surgery|pediatrics|gynecology|kidney transplantation","emergency care|outpatient services|inpatient services|surgical services|diagnostic services",N/A,N/A,N/A,+251112750125,www.sphmmc.edu.et,14|56|57|58|59|60|61|62|63,"HIV/AIDS, Stroke, Lower respiratory infections"
6,Ayder Comprehensive Specialized Hospital,Tigray,Mekelle,13.497402,39.470737,"internal medicine|surgery|pediatrics|gynecology|newborn care|dialysis|cancer treatment","emergency care|outpatient services|inpatient services|surgical services|diagnostic services","MRI|surgical equipment",N/A,N/A,N/A,N/A,N/A,14|65|55|66,"Neonatal disorders, Diarrhoeal diseases, Lower respiratory infections"
7,Adama General Hospital & Medical College,Oromia,Adama,8.3341,39.1659,"surgery|orthopedics|gynecology/obstetrics|internal medicine|pediatrics|ophthalmology|dermatology|psychiatry|dental|neurology|radiology|ART|MDR-TB","emergency care|outpatient services|inpatient services|surgical services|diagnostic services",N/A,N/A,N/A,N/A,https://www.adamahmc.edu.et/,14|28|29,"Neonatal disorders, Diarrhoeal diseases, Lower respiratory infections"
8,Wolaita Sodo University Teaching Referral Hospital,South Ethiopia Regional State,Wolaita Sodo,6.5137,37.4646,"general surgery|internal medicine|pediatrics|gynecology","emergency care|outpatient services|inpatient services|surgical services|diagnostic services",N/A,N/A,N/A,N/A,N/A,14|34|35,"Lower respiratory infections, Stroke, Ischaemic heart disease"
9,Haramaya University Hiwot Fana Comprehensive Specialized Hospital,Harari,Harar,9.1820,42.0745,"internal medicine|general surgery|neurosurgery|pediatric surgery|urology|plastic surgery|orthopedic surgery|gynecology/obstetrics|pediatrics|neurology|pediatric cardiology","emergency care|outpatient services|inpatient services|surgical services|diagnostic services|dialysis|mental health care|reproductive health|oncology|ophthalmic care|ENT|pathology|pharmacy|dental care|TB/HIV services|neonatal intensive care|dermatology|maternal/child health","dialysis unit|comprehensive laboratory equipment|diagnostic equipment","High satisfaction with laboratory services",N/A,Accredited,+251256667439| +251256668081,http://www.haramaya.edu.et/hiwotfana/,1|2|3|4|5|6|8,"Neonatal disorders, Diarrhoeal diseases, Lower respiratory infections"
10,Debre Birhan Comprehensive Specialized Hospital,Amhara,Debre Birhan,9.4045,39.3207,"general surgery|internal medicine|pediatrics|gynecology","emergency care|outpatient services|inpatient services|surgical services|diagnostic services",N/A,N/A,N/A,N/A,N/A,14,"Neonatal disorders, Diarrhoeal diseases, Lower respiratory infections"
11,Debre Markos Comprehensive Specialized Hospital,Amhara,Debre Markos,10.1927,37.4332,"general surgery|internal medicine|pediatrics|gynecology","emergency care|outpatient services|inpatient services|surgical services|diagnostic services",N/A,N/A,N/A,N/A,N/A,14,"Neonatal disorders, Diarrhoeal diseases, Lower respiratory infections"
12,Debretabor Comprehensive Specialized Hospital,Amhara,Debre Tabor,N/A,N/A,"general surgery|internal medicine|pediatrics|gynecology","emergency care|outpatient services|inpatient services|surgical services|diagnostic services",N/A,N/A,N/A,N/A,N/A,14,"Neonatal disorders, Diarrhoeal diseases, Lower respiratory infections"
